id,ts_iso,epoch,src_ip,dst_ip,proto,sport,dport,length
1,2025-09-18T19:20:00Z,1758180575.6768608,192.168.1.50,142.250.72.14,TCP,54500,80,900
2,2025-09-18T19:20:02Z,1758180577.6768608,192.168.1.77,142.250.72.14,TCP,54510,443,860
3,2025-09-18T19:20:04Z,1758180579.6768608,192.168.1.50,8.8.8.8,UDP,5353,53,120
4,2025-09-18T19:20:06Z,1758180581.6768608,192.168.1.50,142.250.72.14,TCP,54511,81,700
5,2025-09-18T07:50:04Z,1758181804.947005,10.0.0.73,255.255.255.255,UDP,58612,6667,214
6,2025-09-18T07:50:05Z,1758181805.663883,10.0.0.142,224.0.0.251,UDP,5353,5353,183
7,2025-09-18T07:50:06Z,1758181806.27872,10.0.0.179,224.0.0.251,UDP,5353,5353,192
8,2025-09-18T07:50:06Z,1758181806.5291169,10.0.0.248,17.253.1.204,TCP,58914,80,78
9,2025-09-18T07:50:06Z,1758181806.5567622,17.253.1.204,10.0.0.248,TCP,80,58914,74
10,2025-09-18T07:50:06Z,1758181806.559811,10.0.0.248,17.253.1.204,TCP,58914,80,66
11,2025-09-18T07:50:06Z,1758181806.5614111,10.0.0.248,17.253.1.204,TCP,58914,80,210
12,2025-09-18T07:50:06Z,1758181806.5875041,17.253.1.204,10.0.0.248,TCP,80,58914,66
13,2025-09-18T07:50:06Z,1758181806.58976,17.253.1.204,10.0.0.248,TCP,80,58914,528
14,2025-09-18T07:50:06Z,1758181806.591927,10.0.0.248,17.253.1.204,TCP,58914,80,66
15,2025-09-18T07:50:06Z,1758181806.593791,10.0.0.248,17.253.1.204,TCP,58914,80,66
16,2025-09-18T07:50:06Z,1758181806.622998,17.253.1.204,10.0.0.248,TCP,80,58914,66
17,2025-09-18T07:50:06Z,1758181806.626747,10.0.0.248,17.253.1.204,TCP,58914,80,66
18,2025-09-18T07:50:06Z,1758181806.653208,10.0.0.248,142.251.32.46,TCP,58915,80,78
19,2025-09-18T07:50:06Z,1758181806.674477,142.251.32.46,10.0.0.248,TCP,80,58915,74
20,2025-09-18T07:50:06Z,1758181806.676718,10.0.0.248,142.251.32.46,TCP,58915,80,66
21,2025-09-18T07:50:06Z,1758181806.678665,10.0.0.248,142.251.32.46,TCP,58915,80,212
22,2025-09-18T07:50:06Z,1758181806.698106,142.251.32.46,10.0.0.248,TCP,80,58915,66
